Date,Open,High,Low,Close,Volume,Day,400_sma,200_sma,100_sma,50_sma,20_sma,9_ema,Trend,Close_9_ema_crossover,Close_9_ema_crossover_price,9_ema_20_sma_crossover,9_ema_20_sma_crossover_price,buy,sell,exit,sl,tp
2020-02-10 05:00:00,1818.0,1819.0,1774.0,1787.0,152294,Mon,,,,,,1787.0,nan,nan,nan,nan,nan,,,,,
2020-02-11 05:00:00,1786.0,1814.0,1769.0,1806.0,126146,Tue,,,,,,1790.8000000000002,nan,nan,nan,nan,nan,,,,,
2020-02-12 05:00:00,1805.0,1869.0,1805.0,1856.0,140713,Wed,,,,,,1803.8400000000004,nan,nan,nan,nan,nan,,,,,
2020-02-13 05:00:00,1855.0,1881.0,1832.0,1838.0,128652,Thu,,,,,,1810.6720000000005,nan,nan,nan,nan,nan,,,,,
2020-02-14 05:00:00,1837.0,1864.0,1815.0,1855.0,103945,Fri,,,,,,1819.5376000000006,nan,nan,nan,nan,nan,,,,,
2020-02-16 05:00:00,1889.0,1914.0,1880.0,1898.0,8069,Sun,,,,,,1835.2300800000007,nan,nan,nan,nan,nan,,,,,
2020-02-17 05:00:00,1897.0,1942.0,1896.0,1929.0,42063,Mon,,,,,,1853.9840640000007,nan,nan,nan,nan,nan,,,,,
2020-02-18 05:00:00,1928.0,1974.0,1926.0,1956.0,123307,Tue,,,,,,1874.3872512000007,nan,nan,nan,nan,nan,,,,,
2020-02-19 05:00:00,1954.0,1976.0,1944.0,1964.0,125985,Wed,,,,,,1892.3098009600005,nan,nan,nan,nan,nan,,,,,
2020-02-20 05:00:00,1965.0,2023.0,1894.0,1911.0,142224,Thu,,,,,,1896.0478407680005,nan,nan,nan,nan,nan,,,,,
2020-02-21 05:00:00,1910.0,1927.0,1871.0,1912.0,82538,Fri,,,,,,1899.2382726144006,nan,nan,nan,nan,nan,,,,,
2020-02-23 05:00:00,1888.0,1889.0,1862.0,1866.0,3591,Sun,,,,,,1892.5906180915206,nan,BreakDown,1866.0,nan,nan,,,,,
2020-02-24 05:00:00,1865.0,1875.0,1838.0,1859.0,45683,Mon,,,,,,1885.8724944732164,nan,nan,nan,nan,nan,,,,,
2020-02-25 05:00:00,1860.0,1877.0,1832.0,1848.0,44633,Tue,,,,,,1878.2979955785731,nan,nan,nan,nan,nan,,,,,
2020-02-26 05:00:00,1846.0,1885.0,1790.0,1790.0,91542,Wed,,,,,,1860.6383964628585,nan,nan,nan,nan,nan,,,,,
2020-02-27 05:00:00,1785.0,1804.0,1721.0,1726.0,129238,Thu,,,,,,1833.710717170287,nan,nan,nan,nan,nan,,,,,
2020-02-28 05:00:00,1725.0,1731.0,1645.0,1704.0,116166,Fri,,,,,,1807.7685737362297,nan,nan,nan,nan,nan,,,,,
2020-03-01 05:00:00,1691.0,1755.0,1686.0,1743.0,8931,Sun,,,,,,1794.8148589889838,nan,nan,nan,nan,nan,,,,,
2020-03-02 05:00:00,1742.0,1800.0,1706.0,1781.0,107345,Mon,,,,,,1792.0518871911872,nan,nan,nan,nan,nan,,,,,
2020-03-03 05:00:00,1780.0,1846.0,1763.0,1818.0,109635,Tue,,,,,1842.35,1797.2415097529497,nan,BreakUp,1818.0,nan,nan,,,,,
2020-03-04 05:00:00,1819.0,1852.0,1793.0,1838.0,75126,Wed,,,,,1844.9,1805.39320780236,nan,nan,nan,nan,nan,,,,,
2020-03-05 05:00:00,1837.0,1856.0,1744.0,1749.0,84206,Thu,,,,,1842.05,1794.114566241888,nan,BreakDown,1749.0,nan,nan,,,,,
2020-03-06 05:00:00,1748.0,1773.0,1717.0,1742.0,103258,Fri,,,,,1836.35,1783.6916529935106,nan,nan,nan,nan,nan,,,,,
2020-03-08 05:00:00,1686.0,1687.0,1629.0,1632.0,13834,Sun,,,,,1826.05,1753.3533223948086,nan,nan,nan,nan,nan,,,,,
2020-03-09 04:00:00,1631.0,1871.0,1629.0,1822.0,148437,Mon,,,,,1824.4,1767.082657915847,nan,BreakUp,1822.0,nan,nan,,,,,
2020-03-10 04:00:00,1821.0,1976.0,1819.0,1952.0,175026,Tue,,,,,1827.1,1804.0661263326779,nan,nan,nan,nan,nan,,,,,
2020-03-11 04:00:00,1951.0,2019.0,1774.0,1838.0,174446,Wed,,,,,1822.55,1810.8529010661423,nan,nan,nan,nan,nan,,,,,
2020-03-12 04:00:00,1837.0,1900.0,1792.0,1850.0,144933,Thu,,,,,1817.25,1818.682320852914,nan,nan,nan,BreakUp,1818.682320852914,,,,,
2020-03-13 04:00:00,1851.0,1968.0,1849.0,1904.0,117203,Fri,,,,,1814.25,1835.7458566823314,nan,nan,nan,nan,nan,,,,,
2020-03-15 04:00:00,1873.0,1873.0,1816.0,1844.0,8995,Sun,,,,,1810.9,1837.396685345865,nan,nan,nan,nan,nan,,,,,
2020-03-16 04:00:00,1843.0,1873.0,1802.0,1823.0,88414,Mon,,,,,1806.45,1834.5173482766922,nan,BreakDown,1823.0,nan,nan,,,,,
2020-03-17 04:00:00,1824.0,1846.0,1714.0,1729.0,84476,Tue,,,,,1799.6,1813.413878621354,nan,nan,nan,nan,nan,,,,,
2020-03-18 04:00:00,1730.0,1735.0,1582.0,1644.0,117286,Wed,,,,,1788.85,1779.5311028970832,nan,nan,nan,BreakDown,1779.5311028970832,,,,,
2020-03-19 04:00:00,1645.0,1716.0,1638.0,1670.0,106470,Thu,,,,,1779.95,1757.6248823176666,nan,nan,nan,nan,nan,,,,,
2020-03-20 04:00:00,1671.0,1754.0,1631.0,1634.0,85544,Fri,,,,,1772.15,1732.8999058541333,nan,nan,nan,nan,nan,,,,,
2020-03-22 04:00:00,1589.0,1601.0,1577.0,1598.0,6838,Sun,,,,,1765.75,1705.9199246833068,nan,nan,nan,nan,nan,,,,,
2020-03-23 04:00:00,1597.0,1692.0,1591.0,1652.0,76085,Mon,,,,,1763.15,1695.1359397466456,nan,nan,nan,nan,nan,,,,,
2020-03-24 04:00:00,1653.0,1751.0,1649.0,1745.0,48402,Tue,,,,,1763.25,1705.1087517973165,nan,BreakUp,1745.0,nan,nan,,,,,
2020-03-25 04:00:00,1746.0,1776.0,1682.0,1693.0,27163,Wed,,,,,1758.85,1702.6870014378533,nan,BreakDown,1693.0,nan,nan,,,,,
2020-03-26 04:00:00,1694.0,1740.0,1670.0,1705.0,30802,Thu,,,,,1753.2,1703.1496011502827,nan,BreakUp,1705.0,nan,nan,,,,,
2020-03-27 04:00:00,1704.0,1709.0,1649.0,1669.0,5234,Fri,,,,,1744.75,1696.3196809202261,nan,BreakDown,1669.0,nan,nan,,,,,
2020-03-29 05:00:00,1637.0,1641.0,1622.0,1630.0,0,Sun,,,,,1738.8,1683.055744736181,nan,nan,nan,nan,nan,,,,,
2020-03-30 05:00:00,1631.0,1737.0,1623.0,1724.0,0,Mon,,,,,1737.9,1691.2445957889447,nan,BreakUp,1724.0,nan,nan,,,,,
2020-03-31 05:00:00,1726.0,1744.0,1652.0,1664.0,0,Tue,,,,,1739.5,1685.7956766311559,nan,BreakDown,1664.0,nan,nan,,,,,
2020-04-01 05:00:00,1665.0,1695.0,1601.0,1621.0,0,Wed,,,,,1729.45,1672.8365413049248,nan,nan,nan,nan,nan,,,,,
2020-04-02 05:00:00,1622.0,1646.0,1546.0,1595.0,91075,Thu,,,,,1711.6,1657.26923304394,nan,nan,nan,nan,nan,,,,,
2020-04-03 05:00:00,1594.0,1684.0,1558.0,1681.0,82413,Fri,,,,,1703.75,1662.015386435152,nan,BreakUp,1681.0,nan,nan,,,,,
2020-04-05 05:00:00,1688.0,1692.0,1664.0,1673.0,5625,Sun,,,,,1694.9,1664.2123091481217,nan,nan,nan,nan,nan,,,,,
2020-04-06 05:00:00,1674.0,1833.0,1670.0,1802.0,97613,Mon,,,,,1689.8,1691.7698473184976,nan,nan,nan,BreakUp,1691.7698473184976,,,,,
2020-04-07 05:00:00,1801.0,1948.0,1789.0,1916.0,132380,Tue,,,,1777.72,1693.4,1736.615877854798,nan,nan,nan,nan,nan,,,,,
2020-04-08 05:00:00,1915.0,1926.0,1815.0,1852.0,111084,Wed,,,,1779.02,1694.85,1759.6927022838386,nan,nan,nan,nan,nan,1852.0,,,1816.0,3916.0
2020-04-09 05:00:00,1851.0,1864.0,1776.0,1801.0,104152,Thu,,,,1778.92,1698.45,1767.954161827071,nan,nan,nan,nan,nan,,,1816.0,,
2020-04-12 05:00:00,1814.0,1853.0,1795.0,1843.0,5366,Sun,,,,1778.66,1708.4,1782.963329461657,nan,nan,nan,nan,nan,1843.0,,,1701.0,3801.0
2020-04-13 05:00:00,1842.0,1877.0,1779.0,1820.0,91099,Mon,,,,1778.3,1715.9,1790.3706635693256,nan,nan,nan,nan,nan,,,,1743.0,
2020-04-14 05:00:00,1819.0,1827.0,1730.0,1749.0,94292,Tue,,,,1776.18,1721.65,1782.0965308554605,nan,BreakDown,1749.0,nan,nan,,,,1720.0,
2020-04-15 05:00:00,1750.0,1765.0,1675.0,1689.0,86013,Wed,,,,1772.0,1726.2,1763.4772246843684,nan,nan,nan,nan,nan,,,,1649.0,
2020-04-16 05:00:00,1690.0,1831.0,1652.0,1806.0,115771,Thu,,,,1769.54,1733.9,1771.9817797474948,nan,BreakUp,1806.0,nan,nan,,,1806.0,,
